JobTitle,isSaved,MinimumExperience,MaximumExperience,MinSalary,MaxSalary,CreationDate,Description,EmployeeType,IndustryType,Location,MinimumQualification,Promote,Specialization,JobStatus,VisitorCount,job_url,SkillsRequired,ScreeningQuestions,job_recruiter_recruiter_id
Junior JavaScript Developer in Hyderabad,no,0,2,3,5,6/16/2025,"<h4 style=""color:red;"">Key Responsibilities</h4> 
<ul> 
<li>Collaborate with cross-functional teams to design, develop, and test new features for educational platforms</li> 
<li>Write clean, maintainable, and efficient code while adhering to best practices</li> 
<li>Troubleshoot and debug issues to ensure optimal performance and user experience</li> 
<li>Work closely with UI/UX designers to translate wireframes and mockups into functional applications</li> 
<li>Stay up-to-date with the latest trends and technologies in web development to continuously enhance our products</li> 
<li>Participate in code reviews and provide constructive feedback to team members</li> 
<li>Contribute to the overall success of the team by sharing knowledge, ideas, and insights to drive innovation and excellence</li> 
</ul> 
",Full Time,IT,Hyderabad,B.Tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,JavaScript,,20548
Software Engineer I,no,0,2,7,10,6/16/2025,"<h4 style=""color:red;"">Job Summary:</h4> 
<p> 
We are seeking a motivated and excellent Angular Software Engineer II to join our engineering team in delivering innovative solutions while improving and maintaining the quality of our products. The engineer will be responsible for developing clean, scalable, and testable solutions in our Typescript + React codebase. Candidates should demonstrate some proficiency in code quality, code delivery, documentation, and software development best practices and illustrate a capacity for growth in these areas. We value software craftsmanship and encourage innovative and pragmatic approaches to software development. 
</p> 

<h4 style=""color:red;"">Responsibilities:</h4> 
<ul> 
<li>Act as an active team member in designing and developing scalable, high-performance software solutions.</li> 
<li>Write clean, maintainable, and testable code in TypeScript in React or Angular.</li> 
<li>Work on projects within a few areas of the product under the guidance of architects and lead engineers to ensure cohesive and integrated solutions.</li> 
<li>Independently define, design, and communicate most work within the team, effectively articulating technical solutions and strategies.</li> 
<li>Actively participate in code and design reviews.</li> 
<li>Participate in initiatives for process improvement, enhancing team efficiency and effectiveness.</li> 
<li>Keep up-to-date with the latest industry trends and technologies.</li> 
<li>Write and maintain technical documentation.</li> 
<li>Participate actively in Agile/Scrum teams to ensure effective project execution.</li> 
</ul> 

<h4 style=""color:red;"">Requirements:</h4> 
<ul> 
<li>2+ years of experience in software engineering.</li> 
<li>Experience in software design & development.</li> 
<li>Expertise in TypeScript, React/Angular, CSS and other relevant technologies.</li> 
<li>Excellent communication skills, with the ability to work collaboratively with other departments and stakeholders.</li> 
<li>Experience and passion for test-driven development approaches and patterns.</li> 
<li>A self-starter with a passion for technology and innovation.</li> 
<li>General awareness of modern process best practices (Agile, Scrum, Kanban, etc.).</li> 
<li>Openness to pragmatic approaches and willingness to challenge conventional best practices to achieve success.</li> 
</ul> 
",Full Time,IT,Hyderabad,B.Tech,No,CSE,Active ,0,https://www.bitlabs.in/jobs,"React, Angular, CSS, TypeScript",,20549
Java Developer ,no,0,2,6,8,6/16/2025,"<h4 style=""color:red;"">Position Summary</h4> 
<p> 
Java Developer participates in architectural and software development activities which include designing and implementing Java application phase, recommending technical solutions for IT-related issues. 
</p> 

<h4 style=""color:red;"">Responsibilities</h4> 
<ul> 
<li>Designing and developing software by writing clean and thoroughly tested code</li> 
<li>Driving code development within the team to ensure compliance with best practices</li> 
<li>Participating in the design and architecture of large-scale Distributed SaaS Service features</li> 
<li>Designing, writing, and delivering software to enhance availability, scalability, latency, and efficiency</li> 
<li>Analyzing, debugging, and resolving production and non-production issues</li> 
</ul> 
",Full Time ,IT ,Hyderabad,B.Tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,Java,,20550
Power BI Developer,no,0,2,2.7,3.5,6/16/2025,"<h4 style=""color:red;"">About the job</h4> 
<ul> 
<li>Proven experience as a Power BI Developer or Data Analyst.</li> 
<li>Strong knowledge of Power BI, DAX, Power Query, and data modelling.</li> 
<li>Proficiency in SQL and experience with relational databases.</li> 
<li>Experience with Microsoft Excel, including pivot tables and advanced formulas.</li> 
<li>Understanding of data warehousing and ETL processes.</li> 
<li>Excellent analytical and problem-solving skills.</li> 
<li>Strong communication and collaboration abilities.</li> 
</ul> 
",Full Time ,IT ,Hyderabad ,B.Tech,No,CSE,Active ,0,https://careers.algoleap.com/jobs/Careers/660523000045173730?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,SQL,,20551
Developer Intern,no,0,2,1.8,2.2,6/16/2025,"<h4 style=""color:red;"">Job Title: Software Developer Intern</h4> 
<p><strong>Duration:</strong> 6 Months</p> 

<h4 style=""color:red;"">About The Role</h4> 
<p> 
We are looking for a passionate and motivated final year Computer Science/IT student to join our team as a Software Developer Intern. You will work alongside experienced developers on real-world projects involving modern tech stacks, contributing to design, development, testing, and deployment of software solutions. 
</p> 

<h4 style=""color:red;"">Key Responsibilities</h4> 
<ul> 
<li>Assist in the development of web and desktop applications</li> 
<li>Write clean, maintainable, and efficient code</li> 
<li>Participate in code reviews and testing</li> 
<li>Collaborate with cross-functional teams on project requirements</li> 
<li>Learn and apply modern development practices and tools</li> 
</ul> 

<h4 style=""color:red;"">Requirements</h4> 
<ul> 
<li>Final year student pursuing B.E./B.Tech in Computer Science, IT, or related field</li> 
<li>Strong programming fundamentals (e.g., C#, Java, Python, or JavaScript)</li> 
<li>Familiarity with web development frameworks or tools (e.g., .NET, React, or Blazor)</li> 
<li>Eagerness to learn and contribute to a fast-paced team</li> 
<li>Good problem-solving and communication skills</li> 
</ul> 

<h4 style=""color:red;"">Nice To Have</h4> 
<ul> 
<li>Experience with Git, databases, or cloud platforms</li> 
<li>Exposure to Agile development or project-based work</li> 
</ul> 

<h4 style=""color:red;"">Benefits</h4> 
<ul> 
<li>Hands-on industry experience</li> 
<li>Mentorship from experienced engineers</li> 
</ul> 
",Full Time,IT ,Bangalore,B.Tech,No,CSE,Active ,0,https://careers.kbr.com/us/en/job/KIVKBRUSR2105228EXTERNALENUS/Developer-Intern?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,"Java, Python, .Net, React",,20552
Graduate Trainee,no,0,2,4.8,9,6/16/2025,"<h4 style=""color:red;"">About the job</h4> 
<p> 
This is a position based in Bangalore, India. 
</p> 
<p> 
The duration of the internship program will be 1 year. 
</p> 
<p> 
In this role, you will work in a collaborative team environment to enhance and expand the capabilities of the in-house test automation framework. The results of your work will be used across the cloud organization for improved productivity and test coverage. 
</p> 

<h4 style=""color:red;"">Responsibilities and Duties:</h4> 
<ul> 
<li>Develops software solutions by studying information needs, conferring with users, and studying systems flow, data usage, and work processes.</li> 
<li>Debugging and testing code.</li> 
<li>Ability to learn new software and technologies quickly.</li> 
<li>Ability to follow instructions and work in a team environment.</li> 
<li>Detail-oriented.</li> 
<li>Researching, investigating, and fixing a wide range of technical issues.</li> 
<li>Approaching problems and creating solutions.</li> 
</ul> 

<h4 style=""color:red;"">Qualifications:</h4> 
<ul> 
<li>Strong communication and presentation skills.</li> 
<li>Self-motivated and results oriented.</li> 
<li>Ability to interact with cross-functional teams.</li> 
<li>Strong problem-solving abilities.</li> 
<li>Ability to work in a fast-paced environment.</li> 
<li>A thorough understanding of computer architecture, databases, operating systems, and data structures.</li> 
<li>Knowledge of core computer science concepts such as object-oriented design, algorithm design, problem-solving, and complexity analysis.</li> 
<li>Experience with Java, Python, Go, NodeJS/JavaScript or any other programming languages.</li> 
<li>Good searching skill for learning and preparing the solution.</li> 
<li>Any cloud knowledge (AWS, Azure and GCP).</li> 
<li>Knowledge with Linux/Unix, Perl and/or shell scripts.</li> 
<li>Having certification is an advantage.</li> 
<li>Creativity is always a plus.</li> 
<li>Bachelor's or master's in Computer Science / Information Technology / Electronics & Communication / Electrical & Electronics / Electronics & Telecommunications. Should have graduated in 2024 / 2025.</li> 
</ul> 
",Full Time ,IT ,Bangalore,B.Tech,No,CSE,Active ,0,https://calix.wd1.myworkdayjobs.com/ExternalInternational/job/Bangalore/Graduate-Trainee_R-10621?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,"Java, Python, JavaScript",,20553
Frontend Engineer ,no,0,2,3,4,6/16/2025,"<h4 style=""color:red;"">Frontend Engineer - ReactJs</h4> 

<p><strong>Tech Stack:</strong> React, Redux, Saga, RTK Query, Styled Components, Tailwind, Javascript, Typescript, HTML, CSS</p> 

<h4 style=""color:red;"">Responsibilities</h4> 
<ul> 
<li>Develop and scale robust Web Application for fleet management system.</li> 
<li>Lead Frontend development e2e involving discussions with multiple teams.</li> 
<li>Own the development flows and ensure system reliability and performance.</li> 
</ul> 

<h4 style=""color:red;"">Requirements</h4> 
<ul> 
<li>Deep hands-on experience in ReactJs and related libraries.</li> 
<li>Built and maintained production grade frontend application from scratch.</li> 
<li>Experience in working with a startup or fast phased development environment.</li> 
</ul> 
",Full Time ,IT ,Bangalore,B.Tech,No,CSE,Active,0,https://www.orangemantra.com/career/job-details.php?job-00508?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,"HTML, CSS, React, JavaScript",,20554
Software Engineer,no,0,2,2.5,3.2,6/16/2025,"<h4 style=""color:red;"">About Instead</h4>
<p>
Instead is a tax platform designed to help taxpayers and tax professionals collaborate to save money on taxes. As the first company in decades to receive IRS approvals to E-file 1040, 1041, 1120, 1120S, and 1065 — we're re-inventing a complex category. Founded in 2023, Instead combines LLMs with tax law to make tax management a continuous, proactive process rather than a dreaded annual deadline.
</p>
<p>
Instead's investors include Sarah Guo from Conviction (<a href=""https://conviction.com"" target=""_blank"">conviction.com</a>) and many of our customers who believe in our mission and vision. The Instead team comprises talented leaders from leading tax, financial services and fintech companies — Gusto, Intuit, Zenefits, Thomson Reuters, Wolters Kluwer, Bloomberg — as well as top tax & accounting firms such as PwC, BDO, RSM, and KPMG.
</p>
<p>
Instead was a 2024 Innovation Award Finalist in CPA Practice Advisor. Instead's CEO, Andrew Argue, is a CPA and has been named Top 100 Most Influential People in the Accounting Profession twice - Ones To Watch and CPA Practice Advisors 20 under 40.
</p>

<h4 style=""color:red;"">About the Role</h4>
<p>
In this role, you will get the chance to build innovative tax software alongside a dynamic team in our Hyderabad office. You'll work on exciting projects such as developing barcode systems for tax forms, processing XSD/XML schemas, and creating features that empower our tax analysts. Enjoy a fast-paced environment where you'll refine tax return rules and collaborate closely with both local and US teams. If you're a quick learner with at least 3 years of software development experience and a keen eye for detail, you'll thrive as you help us drive innovation in tax technology.
</p>

<h4 style=""color:red;"">What You'll Do</h4>
<ul>
<li>Develop tax form barcode generation in accordance with US government published guidelines and specifications</li>
<li>Parse, process and update data structures based on XSD/XML schemas issued by US government jurisdictions</li>
<li>Aid our growing team of tax analysts, based in Hyderabad, on tax form calculation development</li>
<li>Develop new features in our in house development tool to enable our tax analysts to do more in less time</li>
<li>Review and refine tax return business rules</li>
<li>Additional projects as needed by the internal tax team and US based engineering team</li>
</ul>

<h4 style=""color:red;"">What You'll Need</h4>
<ul>
<li>3 years of software development experience</li>
<li>High attention to detail</li>
<li>Fast learner</li>
<li>Enjoy working in a fast pace, innovative environment</li>
</ul>

<h4 style=""color:red;"">Nice to Have</h4>
<ul>
<li>Experience developing tax software</li>
<li>Experience developing barcode generation</li>
<li>Experience with Javascript and modern web frameworks</li>
<li>Experience with XML, JSON and other data structures</li>
<li>Experience programming using AI copilots such as GitHub Copilot, Cursor, ChatGPT, Claude, Windsurf, etc</li>
</ul>
",Full Time ,IT ,Hyderabad ,B.Tech,No,CSE,Active ,0,https://job-boards.greenhouse.io/instead/jobs/6491661003?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,JavaScript,,20555
"Developer, Front End",no,0,2,4.5,5.2,6/16/2025,"<h4 style=""color: red;"">About the job</h4> 
<p> 
Medable's mission is to get effective therapies to patients faster. We provide an end-to-end, cloud-based platform with a flexible suite of tools that allows patients, healthcare providers, clinical research organizations and pharmaceutical sponsors to work together as a team in clinical trials. Our solutions enable more efficient clinical research, more effective healthcare delivery, and more accurate precision and predictive medicine. Our target audiences are patients, providers, principal investigators, and innovators who work in healthcare and life sciences. 
</p> 
<p> 
Our vision is to accelerate the path to human discovery and medical cures. We are passionate about driving innovation and empowering consumers. We are proactive, collaborative, self-motivated learners, committed, bold and tenacious. We are dedicated to making this world a healthier place. 
</p> 

<h4 style=""color: red;"">Responsibilities</h4> 
<ul> 
<li>Responsible for implementing visual elements that users see and interact with in a web application</li> 
<li>Develop new user-facing features</li> 
<li>Build reusable code and libraries for future use</li> 
<li>Ensure the technical feasibility of UI/UX designs</li> 
<li>Optimize application for maximum speed and scalability</li> 
<li>Ensure changes are validated before submitting to back-end</li> 
<li>Collaborate with other team members and stakeholders</li> 
<li>Develop functional and appealing web- and mobile-based applications based on usability</li> 
<li>Provide website maintenance, bug fixing, and enhancements</li> 
<li>Write functional requirement documents and specifications</li> 
<li>Create quality mockups and prototypes on tight timelines</li> 
<li>Assist back-end developers with coding and troubleshooting</li> 
<li>Create cascading style sheets (CSS) that are consistent across all browsers and platforms</li> 
<li>Other duties as assigned</li> 
</ul> 

<h4 style=""color: red;"">Experience</h4> 
<p>2+ years working as a Developer or a combination of education and experience</p> 

<h4 style=""color: red;"">Skills</h4> 
<ul> 
<li>Proficient understanding of web markup, including HTML5, CSS3</li> 
<li>Basic understanding of server-side CSS pre-processing platforms, such as LESS and SASS</li> 
<li>Proficient understanding of client-side scripting and JavaScript frameworks, including jQuery</li> 
<li>Good understanding of advanced JavaScript libraries and frameworks</li> 
<li>Good understanding of asynchronous request handling, partial page updates, and AJAX</li> 
<li>Basic knowledge of image authoring tools, to be able to crop, resize, or perform small adjustments on an image</li> 
<li>Proficient understanding of cross-browser compatibility issues and ways to work around them</li> 
<li>Proficient understanding of code versioning tools</li> 
<li>Good understanding of SEO principles and ensuring that application will adhere to them</li> 
<li>HTML, CSS, Javascript, Docker, Git</li> 
</ul> 

<h4 style=""color: red;"">Education, Certifications, Licenses</h4> 
<p>Bachelor's degree in Computer Science or a related field preferred</p> 

<h4 style=""color: red;"">Travel Requirements</h4> 
<p>As required</p> 
",Full Time ,IT ,Bangalore ,B.Tech,No,CSE,Active ,0,https://medable.wd1.myworkdayjobs.com/explore-career-opportunities/job/Bangalore-India---Remote/Developer--Front-End_JR100083?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,"HTML, CSS, JavaScript",,20556
Software Engineer- Frontend Developer Intern,no,0,2,2.5,3.2,6/17/2025,"<p> 
In this role, you will work closely with the founders including Abhishek (<a href=""https://www.linkedin.com/in/abhishekch123/"">https://www.linkedin.com/in/abhishekch123/</a>) to work with the FrontEnd team for our TrueFoundry Platform for easing the workflow of Developers and DataScientists. As one of the core team members, you will play a key role in shaping the technology, helping the team grow together with the founders. We are a Product first team, work in a close knit fashion and operate like a family rather than co-workers. 
</p> 

<h4 style=""color: red;"">Requirements</h4> 
<ul> 
<li>Strong knowledge of Javascript fundamentals, Object-oriented programming, and Web concepts with relevant experience in building web apps at scale</li> 
<li>You must have a strong understanding of semantic HTML / HTML5, CSS / CSS3</li> 
<li>Experience or familiarity with React.js or Vue.s, and build tools like Webpack, Rollup, etc.</li> 
<li>Curiosity to go in-depth of codebases and libraries and have the ability to set it up from scratch</li> 
<li>Familiarity with Server Side Rendering (SSR) and website SEO</li> 
<li>Experience with data-driven decision making.</li> 
</ul> 

<h4 style=""color: red;"">What You'll Do</h4> 
<ul> 
<li>Build Truefoundry website and frontend platform.</li> 
<li>Build monitoring graphs, services directory, ML model management UI. Make sure SEO and website performance are top-notch.</li> 
<li>Work with design teams and ability to work as a team with other frontend engineers when we expand our team</li> 
<li>Collaborate across the company to deliver end-to-end systems and experiences</li> 
<li>Take good design decisions which scale and follow best practices.</li> 
</ul> 
",Full Time ,IT ,Bangalore ,B.Tech,No,CSE,Active ,0,https://wellfound.com/jobs/2284798-software-engineer-frontend-developer-intern?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,"HTML, CSS",,20557
